CrimeDate,Total Incidents
2013-09-08,139.0
2013-09-09,141.0
2013-09-10,124.0
2013-09-11,126.0
2013-09-12,140.0
2013-09-13,147.0
2013-09-14,136.0
2013-09-15,146.0
2013-09-16,135.0
2013-09-17,155.0
2013-09-18,117.0
2013-09-19,121.0
2013-09-20,152.0
2013-09-21,130.0
2013-09-22,128.0
2013-09-23,147.0
2013-09-24,136.0
2013-09-25,172.0
2013-09-26,149.0
2013-09-27,143.0
2013-09-28,139.0
2013-09-29,138.0
2013-09-30,135.0
2013-10-01,158.0
2013-10-02,135.0
2013-10-03,147.0
2013-10-04,151.0
2013-10-05,141.0
2013-10-06,148.0
2013-10-07,144.0
2013-10-08,129.0
2013-10-09,135.0
2013-10-10,127.0
2013-10-11,148.0
2013-10-12,125.0
2013-10-13,140.0
2013-10-14,158.0
2013-10-15,153.0
2013-10-16,180.0
2013-10-17,171.0
2013-10-18,160.0
2013-10-19,154.0
2013-10-20,132.0
2013-10-21,161.0
2013-10-22,171.0
2013-10-23,152.0
2013-10-24,144.0
2013-10-25,176.0
2013-10-26,145.0
2013-10-27,113.0
2013-10-28,154.0
2013-10-29,161.0
2013-10-30,125.0
2013-10-31,168.0
2013-11-01,170.0
2013-11-02,135.0
2013-11-03,101.0
2013-11-04,127.0
2013-11-05,137.0
2013-11-06,151.0
2013-11-07,150.0
2013-11-08,156.0
2013-11-09,147.0
2013-11-10,156.0
2013-11-11,124.0
2013-11-12,147.0
2013-11-13,154.0
2013-11-14,131.0
2013-11-15,152.0
2013-11-16,114.0
2013-11-17,119.0
2013-11-18,133.0
2013-11-19,143.0
2013-11-20,113.0
2013-11-21,146.0
2013-11-22,139.0
2013-11-23,123.0
2013-11-24,89.0
2013-11-25,139.0
2013-11-26,117.0
2013-11-27,120.0
2013-11-28,100.0
2013-11-29,112.0
2013-11-30,117.0
2013-12-01,165.0
2013-12-02,122.0
2013-12-03,154.0
2013-12-04,135.0
2013-12-05,155.0
2013-12-06,143.0
2013-12-07,119.0
2013-12-08,87.0
2013-12-09,111.0
2013-12-10,89.0
2013-12-11,126.0
2013-12-12,127.0
2013-12-13,133.0
2013-12-14,120.0
2013-12-15,125.0
2013-12-16,142.0
2013-12-17,140.0
2013-12-18,127.0
2013-12-19,143.0
2013-12-20,192.0
2013-12-21,173.0
2013-12-22,156.0
2013-12-23,150.0
2013-12-24,114.0
2013-12-25,151.0
2013-12-26,105.0
2013-12-27,115.0
2013-12-28,143.0
2013-12-29,148.0
2013-12-30,121.0
2013-12-31,128.0
2014-01-01,139.0
2014-01-02,115.0
2014-01-03,71.0
2014-01-04,120.0
2014-01-05,103.0
2014-01-06,118.0
2014-01-07,84.0
2014-01-08,122.0
2014-01-09,134.0
2014-01-10,143.0
2014-01-11,110.0
2014-01-12,104.0
2014-01-13,129.0
2014-01-14,140.0
2014-01-15,139.0
2014-01-16,138.0
2014-01-17,138.0
2014-01-18,103.0
2014-01-19,107.0
2014-01-20,134.0
2014-01-21,81.0
2014-01-22,111.0
2014-01-23,112.0
2014-01-24,120.0
2014-01-25,116.0
2014-01-26,108.0
2014-01-27,132.0
2014-01-28,98.0
2014-01-29,106.0
2014-01-30,143.0
2014-01-31,135.0
2014-02-01,125.0
2014-02-02,114.0
2014-02-03,110.0
2014-02-04,115.0
2014-02-05,107.0
2014-02-06,96.0
2014-02-07,126.0
2014-02-08,113.0
2014-02-09,79.0
2014-02-10,107.0
2014-02-11,105.0
2014-02-12,102.0
2014-02-13,46.0
2014-02-14,79.0
2014-02-15,106.0
2014-02-16,81.0
2014-02-17,90.0
2014-02-18,92.0
2014-02-19,97.0
2014-02-20,113.0
2014-02-21,140.0
2014-02-22,110.0
2014-02-23,84.0
2014-02-24,106.0
2014-02-25,120.0
2014-02-26,104.0
2014-02-27,102.0
2014-02-28,122.0
2014-03-01,123.0
2014-03-02,86.0
2014-03-03,59.0
2014-03-04,97.0
2014-03-05,104.0
2014-03-06,108.0
2014-03-07,109.0
2014-03-08,106.0
2014-03-09,94.0
2014-03-10,132.0
2014-03-11,113.0
2014-03-12,96.0
2014-03-13,107.0
2014-03-14,157.0
2014-03-15,154.0
2014-03-16,92.0
2014-03-17,84.0
2014-03-18,114.0
2014-03-19,99.0
2014-03-20,99.0
2014-03-21,111.0
2014-03-22,120.0
2014-03-23,106.0
2014-03-24,136.0
2014-03-25,124.0
2014-03-26,101.0
2014-03-27,149.0
2014-03-28,125.0
2014-03-29,98.0
2014-03-30,92.0
2014-03-31,147.0
2014-04-01,128.0
2014-04-02,119.0
2014-04-03,121.0
2014-04-04,139.0
2014-04-05,122.0
2014-04-06,98.0
2014-04-07,115.0
2014-04-08,126.0
2014-04-09,130.0
2014-04-10,114.0
2014-04-11,112.0
2014-04-12,123.0
2014-04-13,138.0
2014-04-14,143.0
2014-04-15,114.0
2014-04-16,117.0
2014-04-17,128.0
2014-04-18,119.0
2014-04-19,120.0
2014-04-20,117.0
2014-04-21,116.0
2014-04-22,127.0
2014-04-23,139.0
2014-04-24,125.0
2014-04-25,145.0
2014-04-26,135.0
2014-04-27,148.0
2014-04-28,148.0
2014-04-29,117.0
2014-04-30,113.0
2014-05-01,135.0
2014-05-02,128.0
2014-05-03,112.0
2014-05-04,123.0
2014-05-05,133.0
2014-05-06,139.0
2014-05-07,138.0
2014-05-08,137.0
2014-05-09,152.0
2014-05-10,114.0
2014-05-11,124.0
2014-05-12,132.0
2014-05-13,130.0
2014-05-14,142.0
2014-05-15,153.0
2014-05-16,147.0
2014-05-17,160.0
2014-05-18,120.0
2014-05-19,131.0
2014-05-20,148.0
2014-05-21,139.0
2014-05-22,162.0
2014-05-23,147.0
2014-05-24,122.0
2014-05-25,127.0
2014-05-26,118.0
2014-05-27,149.0
2014-05-28,131.0
2014-05-29,117.0
2014-05-30,129.0
2014-05-31,127.0
2014-06-01,116.0
2014-06-02,148.0
2014-06-03,125.0
2014-06-04,142.0
2014-06-05,128.0
2014-06-06,136.0
2014-06-07,125.0
2014-06-08,138.0
2014-06-09,148.0
2014-06-10,113.0
2014-06-11,126.0
2014-06-12,128.0
2014-06-13,118.0
2014-06-14,141.0
2014-06-15,148.0
2014-06-16,149.0
2014-06-17,122.0
2014-06-18,128.0
2014-06-19,138.0
2014-06-20,154.0
2014-06-21,134.0
2014-06-22,109.0
2014-06-23,139.0
2014-06-24,163.0
2014-06-25,128.0
2014-06-26,127.0
2014-06-27,145.0
2014-06-28,162.0
2014-06-29,121.0
2014-06-30,117.0
2014-07-01,155.0
2014-07-02,119.0
2014-07-03,121.0
2014-07-04,114.0
2014-07-05,128.0
2014-07-06,141.0
2014-07-07,138.0
2014-07-08,122.0
2014-07-09,144.0
2014-07-10,138.0
2014-07-11,141.0
2014-07-12,129.0
2014-07-13,133.0
2014-07-14,137.0
2014-07-15,134.0
2014-07-16,139.0
2014-07-17,132.0
2014-07-18,135.0
2014-07-19,132.0
2014-07-20,155.0
2014-07-21,149.0
2014-07-22,129.0
2014-07-23,131.0
2014-07-24,146.0
2014-07-25,152.0
2014-07-26,141.0
2014-07-27,151.0
2014-07-28,103.0
2014-07-29,140.0
2014-07-30,138.0
2014-07-31,129.0
2014-08-01,176.0
2014-08-02,113.0
2014-08-03,132.0
2014-08-04,130.0
2014-08-05,115.0
2014-08-06,140.0
2014-08-07,140.0
2014-08-08,148.0
2014-08-09,108.0
2014-08-10,160.0
2014-08-11,172.0
2014-08-12,88.0
2014-08-13,126.0
2014-08-14,144.0
2014-08-15,159.0
2014-08-16,113.0
2014-08-17,119.0
2014-08-18,141.0
2014-08-19,146.0
2014-08-20,140.0
2014-08-21,111.0
2014-08-22,124.0
2014-08-23,132.0
2014-08-24,102.0
2014-08-25,156.0
2014-08-26,134.0
2014-08-27,133.0
2014-08-28,116.0
2014-08-29,149.0
2014-08-30,119.0
2014-08-31,140.0
2014-09-01,170.0
2014-09-02,150.0
2014-09-03,116.0
2014-09-04,139.0
2014-09-05,146.0
2014-09-06,146.0
2014-09-07,130.0
2014-09-08,124.0
2014-09-09,119.0
2014-09-10,139.0
2014-09-11,129.0
2014-09-12,148.0
2014-09-13,105.0
2014-09-14,116.0
2014-09-15,120.0
2014-09-16,124.0
2014-09-17,131.0
2014-09-18,165.0
2014-09-19,121.0
2014-09-20,134.0
2014-09-21,146.0
2014-09-22,154.0
2014-09-23,151.0
2014-09-24,119.0
2014-09-25,124.0
2014-09-26,140.0
2014-09-27,141.0
2014-09-28,130.0
2014-09-29,163.0
2014-09-30,131.0
2014-10-01,125.0
2014-10-02,120.0
2014-10-03,151.0
2014-10-04,143.0
2014-10-05,120.0
2014-10-06,107.0
2014-10-07,142.0
2014-10-08,116.0
2014-10-09,131.0
2014-10-10,143.0
2014-10-11,115.0
2014-10-12,146.0
2014-10-13,139.0
2014-10-14,143.0
2014-10-15,128.0
2014-10-16,140.0
2014-10-17,141.0
2014-10-18,138.0
2014-10-19,111.0
2014-10-20,141.0
2014-10-21,127.0
2014-10-22,160.0
2014-10-23,138.0
2014-10-24,150.0
2014-10-25,140.0
2014-10-26,133.0
2014-10-27,133.0
2014-10-28,141.0
2014-10-29,148.0
2014-10-30,147.0
2014-10-31,154.0
2014-11-01,128.0
2014-11-02,120.0
2014-11-03,119.0
2014-11-04,105.0
2014-11-05,133.0
2014-11-06,129.0
2014-11-07,143.0
2014-11-08,111.0
2014-11-09,123.0
2014-11-10,129.0
2014-11-11,140.0
2014-11-12,131.0
2014-11-13,121.0
2014-11-14,135.0
2014-11-15,123.0
2014-11-16,94.0
2014-11-17,113.0
2014-11-18,143.0
